"filename", "language", "Swift", "XML", "JSON", "C++", "YAML", "Properties", "Groovy", "Dart", "Markdown", "HTML", "comment", "blank", "total"
"/Users/ramidmour/development/flutter_calory_calculator/lib/bindings/profiles_page_binding.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 2, 10
"/Users/ramidmour/development/flutter_calory_calculator/lib/bindings/registration_page_binding.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 2, 10
"/Users/ramidmour/development/flutter_calory_calculator/lib/bindings/splash_page_binding.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 2, 10
"/Users/ramidmour/development/flutter_calory_calculator/lib/controllers/activities_controller.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 43, 0, 0, 0, 10, 53
"/Users/ramidmour/development/flutter_calory_calculator/lib/controllers/add_activity_controlller.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 72, 0, 0, 0, 7, 79
"/Users/ramidmour/development/flutter_calory_calculator/lib/controllers/add_meal_page_controller.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 104, 0, 0, 0, 11, 115
"/Users/ramidmour/development/flutter_calory_calculator/lib/controllers/charts_page_controller.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 67, 0, 0, 0, 15, 82
"/Users/ramidmour/development/flutter_calory_calculator/lib/controllers/detailed_registration_controller.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 53, 0, 0, 0, 9, 62
"/Users/ramidmour/development/flutter_calory_calculator/lib/controllers/diary_page_controller.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 43, 0, 0, 0, 9, 52
"/Users/ramidmour/development/flutter_calory_calculator/lib/controllers/favorite_controller.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 31, 0, 0, 0, 9, 40
"/Users/ramidmour/development/flutter_calory_calculator/lib/controllers/login_controller.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 39, 0, 0, 0, 5, 44
"/Users/ramidmour/development/flutter_calory_calculator/lib/controllers/norm_controller.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 41, 0, 0, 0, 9, 50
"/Users/ramidmour/development/flutter_calory_calculator/lib/controllers/products_controller.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 56, 0, 0, 0, 8, 64
"/Users/ramidmour/development/flutter_calory_calculator/lib/controllers/profile_controller.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 28, 0, 0, 0, 13, 41
"/Users/ramidmour/development/flutter_calory_calculator/lib/controllers/profiles_page_controller.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 6, 25
"/Users/ramidmour/development/flutter_calory_calculator/lib/controllers/registration_controller.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 43, 0, 0, 0, 5, 48
"/Users/ramidmour/development/flutter_calory_calculator/lib/controllers/reports_controller.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 104, 0, 0, 0, 13, 117
"/Users/ramidmour/development/flutter_calory_calculator/lib/controllers/splash_controller.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 29, 0, 0, 0, 5, 34
"/Users/ramidmour/development/flutter_calory_calculator/lib/controllers/stats_controller.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 69, 0, 0, 0, 7, 76
"/Users/ramidmour/development/flutter_calory_calculator/lib/controllers/user_products_controller.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 31, 0, 0, 0, 10, 41
"/Users/ramidmour/development/flutter_calory_calculator/lib/entity/chart_stats_entity.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 2, 20
